"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Лента заказов","0","Счётчики","1","1","Счётчик 'Выполнено за всё время'","0"
"0","Лента заказов","0","В работе","1","1","Номер заказа появляется в 'В работе'","0"
"0","Лента заказов","0","Счётчики","1","1","Счётчик 'Выполнено за сегодня'","0"
"0","Восстановление пароля","0","Переход на страницу восстановления","1","1","Переход по кнопке 'Восстановить пароль'","0"
"0","Основной функционал","0","Навигация","1","1","Переход по клику на 'Лента заказов'","0"
"0","Лента заказов","0","Лента заказов","1","1","Заказы пользователя отображаются в ленте","0"
"0","Личный кабинет","0","Личный кабинет","1","1","Переход в историю заказов","0"
"0","Восстановление пароля","0","Восстановление пароля","1","1","Ввод почты и клик 'Восстановить'","0"
"0","Личный кабинет","0","Личный кабинет","1","1","Выход из аккаунта","0"
"0","Восстановление пароля","0","Восстановление пароля","1","1","Показать/скрыть пароль","0"
"0","Лента заказов","0","Детали заказа","2","0","Клик по заказу открывает модальное окно","0"
"0","","0","","1","1","","0"
"0","Личный кабинет","0","Переход в личный кабинет","1","1","Клик по кнопке 'Личный кабинет'","0"
"0","Основной функционал","0","Оформление заказа","1","1","Залогиненный пользователь может оформить заказ","0"
"0","Основной функционал","0","Ингредиенты","2","0","Закрытие модального окна по крестику","0"
"0","Основной функционал","0","Ингредиенты","1","1","Счётчик ингредиента","0"
"0","Основной функционал","0","Ингредиенты","2","0","Клик по ингредиенту открывает модальное окно","0"
"0","Основной функционал","0","Навигация","1","1","Переход по клику на 'Конструктор'","0"
