"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет увеличение счётчика 'Выполнено за всё время' после создания заказа.","4737","При создании заказа счётчик 'Выполнено за всё время' увеличивается","tests","2026-07-21","passed","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет, что номер заказа появляется в разделе 'В работе'.","1020","После оформления заказа его номер появляется в разделе 'В работе'","tests","2026-07-21","passed","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет увеличение счётчика 'Выполнено за сегодня' после создания заказа.","2130","При создании заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2026-07-21","skipped","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет переход на страницу восстановления пароля через 'Забыл пароль'.","649","Переход на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","2026-07-21","passed","2026-07-21","TestPasswordRecovery","test_password_recovery","",""
"Проверяет переход на страницу 'Лента заказов' по клику.","593","Переход по клику на 'Лента заказов'","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет, что созданный заказ отображается в ленте заказов.","1566","Заказы пользователя из 'История заказов' отображаются на 'Лента заказов'","tests","2026-07-21","passed","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет переход на страницу восстановления пароля через 'Забыл пароль'.","422","Переход на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","2026-07-21","skipped","2026-07-21","TestPasswordRecovery","test_password_recovery","",""
"Проверяет увеличение счётчика 'Выполнено за всё время' после создания заказа.","2127","При создании заказа счётчик 'Выполнено за всё время' увеличивается","tests","2026-07-21","skipped","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет переход в раздел 'История заказов'.","719","Переход в раздел 'История заказов'","tests","2026-07-21","passed","2026-07-21","TestPersonalAccount","test_personal_account","",""
"Проверяет переход на страницу сброса после ввода почты и клика 'Восстановить'.","1012","Ввод почты и клик по кнопке 'Восстановить' открывает страницу сброса пароля","tests","2026-07-21","passed","2026-07-21","TestPasswordRecovery","test_password_recovery","",""
"Проверяет переход на страницу сброса после ввода почты и клика 'Восстановить'.","554","Ввод почты и клик по кнопке 'Восстановить' открывает страницу сброса пароля","tests","2026-07-21","skipped","2026-07-21","TestPasswordRecovery","test_password_recovery","",""
"Проверяет выход из аккаунта по кнопке 'Выход'.","0","Выход из аккаунта","tests","2026-07-21","skipped","2026-07-21","TestPersonalAccount","test_personal_account","",""
"Проверяет переключение типа поля и подсветку после клика по иконке пароля.","1109","Кнопка показать/скрыть пароль делает поле активным и подсвечивает его","tests","2026-07-21","passed","2026-07-21","TestPasswordRecovery","test_password_recovery","",""
"Проверяет переключение типа поля и подсветку после клика по иконке пароля.","500","Кнопка показать/скрыть пароль делает поле активным и подсвечивает его","tests","2026-07-21","skipped","2026-07-21","TestPasswordRecovery","test_password_recovery","",""
"Проверяет открытие модального окна с деталями при клике на заказ.","1143","Клик по заказу в ленте открывает модальное окно с деталями","tests","2026-07-21","passed","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет увеличение счётчика 'Выполнено за сегодня' после создания заказа.","2651","При создании заказа счётчик 'Выполнено за сегодня' увеличивается","","2026-07-21","passed","2026-07-21","","","",""
"Проверяет переход в личный кабинет по клику на 'Личный кабинет'.","0","Переход в личный кабинет по кнопке 'Личный кабинет'","tests","2026-07-21","skipped","2026-07-21","TestPersonalAccount","test_personal_account","",""
"Проверяет, что залогиненный пользователь может оформить заказ.","1582","Залогиненный пользователь может оформить заказ","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет закрытие модального окна кликом по крестику.","1404","Модальное окно закрывается кликом по крестику","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет переход в раздел 'История заказов'.","0","Переход в раздел 'История заказов'","tests","2026-07-21","skipped","2026-07-21","TestPersonalAccount","test_personal_account","",""
"Проверяет увеличение счётчика при drag-and-drop ингредиента в конструктор.","1473","При добавлении ингредиента увеличивается счётчик","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет, что клик по ингредиенту открывает модальное окно с деталями.","873","Клик по ингредиенту открывает модальное окно с деталями","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет увеличение счётчика 'Выполнено за сегодня' после создания заказа.","4883","При создании заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2026-07-21","passed","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет увеличение счётчика при drag-and-drop ингредиента в конструктор.","1638","При добавлении ингредиента увеличивается счётчик","tests","2026-07-21","skipped","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет, что созданный заказ отображается в ленте заказов.","0","Заказы пользователя из 'История заказов' отображаются на 'Лента заказов'","tests","2026-07-21","skipped","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет, что созданный заказ отображается в ленте заказов.","0","Заказы пользователя из 'История заказов' отображаются на 'Лента заказов'","","2026-07-21","skipped","2026-07-21","","","",""
"Проверяет переход на главную по клику 'Конструктор' после перехода в 'Лента заказов'.","638","Переход по клику на 'Конструктор'","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет, что номер заказа появляется в разделе 'В работе'.","0","После оформления заказа его номер появляется в разделе 'В работе'","tests","2026-07-21","skipped","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет, что залогиненный пользователь может оформить заказ.","0","Залогиненный пользователь может оформить заказ","tests","2026-07-21","skipped","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет закрытие модального окна кликом по крестику.","1764","Модальное окно закрывается кликом по крестику","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет открытие модального окна с деталями при клике на заказ.","1194","Клик по заказу в ленте открывает модальное окно с деталями","tests","2026-07-21","passed","2026-07-21","TestFeedPage","test_feed_page","",""
"Проверяет, что клик по ингредиенту открывает модальное окно с деталями.","1054","Клик по ингредиенту открывает модальное окно с деталями","tests","2026-07-21","passed","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет выход из аккаунта по кнопке 'Выход'.","1210","Выход из аккаунта","tests","2026-07-21","passed","2026-07-21","TestPersonalAccount","test_personal_account","",""
"Проверяет переход на страницу 'Лента заказов' по клику.","771","Переход по клику на 'Лента заказов'","tests","2026-07-21","skipped","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет переход на главную по клику 'Конструктор' после перехода в 'Лента заказов'.","525","Переход по клику на 'Конструктор'","tests","2026-07-21","skipped","2026-07-21","TestMainFunctional","test_main_functional","",""
"Проверяет переход в личный кабинет по клику на 'Личный кабинет'.","631","Переход в личный кабинет по кнопке 'Личный кабинет'","tests","2026-07-21","passed","2026-07-21","TestPersonalAccount","test_personal_account","",""
